Index;P_el;Q_Heiz;Q_WW;Q_gesamt
479;217.18;11428.1;0;11428.1
480;348.219;11524.1;0;11524.1
481;274.78;11620.1;0;11620.1
482;216.974;11599;0;11599
483;969.737;11577.8;0;11577.8
484;967.903;11556.7;0;11556.7
485;245.063;11535.5;0;11535.5
486;965.086;11494.9;0;11494.9
487;353.275;11454.2;0;11454.2
488;337.292;11413.6;0;11413.6
489;255.782;11373;0;11373
490;963.892;11334.1;0;11334.1
491;962.558;11295.3;0;11295.3
492;963.892;11256.5;0;11256.5
493;962.066;11217.7;0;11217.7
494;244.248;11147.5;0;11147.5
495;962.566;11077.3;0;11077.3
496;962.566;11007.2;0;11007.2
497;960.983;10937;0;10937
498;260.934;10796.5;0;10796.5
499;96.265;10655.9;0;10655.9
500;960.983;10515.4;0;10515.4
501;959.554;10374.9;0;10374.9
502;183.106;10332.4;0;10332.4
503;183.144;10290;0;10290
504;959.721;10247.5;0;10247.5
505;959.079;10205.1;0;10205.1
506;959.579;10170.9;0;10170.9
507;249.804;10136.8;0;10136.8
508;959.579;10102.6;0;10102.6
509;955.306;10068.5;0;10068.5
510;957.806;10027.8;0;10027.8
511;956.473;9987.11;0;9987.11
512;256.556;9946.43;0;9946.43
513;106.481;9905.76;0;9905.76
514;106.465;9837.15;0;9837.15
515;106.515;9768.53;0;9768.53
516;280.501;9699.91;0;9699.91
517;954.471;9631.3;0;9631.3
518;953.138;9522.85;0;9522.85
519;953.138;9414.4;0;9414.4
520;953.304;9305.95;0;9305.95
521;249.256;9197.5;0;9197.5
522;951.606;9105.28;0;9105.28
523;952.273;9013.06;0;9013.06
524;952.606;8920.85;0;8920.85
525;258.365;8828.63;0;8828.63
526;951.425;8613.84;0;8613.84
527;950.258;8399.04;0;8399.04
528;953.425;8184.25;0;8184.25
529;951.091;7969.45;0;7969.45
530;243.827;8163.36;7634.72;15798.08
531;233.317;8357.26;0;8357.26
532;245.559;8551.16;0;8551.16
533;235.626;8745.06;0;8745.06
534;410.798;8707.3;0;8707.3
535;256.734;8669.54;0;8669.54
536;252.909;8631.78;0;8631.78
537;242.017;8594.02;0;8594.02
538;437.429;8653.43;0;8653.43
539;493.651;8712.84;0;8712.84
540;461.609;8772.26;0;8772.26
541;316.765;8831.67;0;8831.67
542;196.315;8761.35;0;8761.35
543;116.477;8691.03;0;8691.03
544;234.407;8620.71;0;8620.71
545;242.842;8550.39;0;8550.39
546;390.014;8722.3;0;8722.3
547;237.176;8894.21;0;8894.21
548;956.006;9066.11;0;9066.11
549;952.197;9238.02;0;9238.02
550;265.433;9145.78;0;9145.78
551;953.863;9053.54;0;9053.54
552;95.053;8961.3;0;8961.3
553;951.197;8869.06;0;8869.06
